Size, Recursive put calls
10, 3
20, 4
30, 4
40, 5
50, 5
60, 5
70, 6
80, 6
90, 6
100, 6
110, 6
120, 6
130, 7
140, 7
150, 7
160, 7
170, 7
180, 7
190, 7
200, 7
210, 7
220, 7
230, 7
240, 7
250, 7
260, 8
270, 8
280, 8
290, 8
300, 8
310, 8
320, 8
330, 8
340, 8
350, 8
360, 8
370, 8
380, 8
390, 8
400, 8
410, 8
420, 8
430, 8
440, 8
450, 8
460, 8
470, 8
480, 8
490, 8
500, 8
510, 8
520, 9
530, 9
540, 9
550, 9
560, 9
570, 9
580, 9
590, 9
600, 9
610, 9
620, 9
630, 9
640, 9
650, 9
660, 9
670, 9
680, 9
690, 9
700, 9
710, 9
720, 9
730, 9
740, 9
750, 9
760, 9
770, 9
780, 9
790, 9
800, 9
810, 9
820, 9
830, 9
840, 9
850, 9
860, 9
870, 9
880, 9
890, 9
900, 9
910, 9
920, 9
930, 9
940, 9
950, 9
960, 9
970, 9
980, 9
990, 9
1000, 9
1010, 9
1020, 9
1030, 10
1040, 10
1050, 10
1060, 10
1070, 10
1080, 10
1090, 10
1100, 10
1110, 10
1120, 10
1130, 10
1140, 10
1150, 10
1160, 10
1170, 10
1180, 10
1190, 10
1200, 10
1210, 10
1220, 10
1230, 10
1240, 10
1250, 10
1260, 10
1270, 10
1280, 10
1290, 10
1300, 10
1310, 10
1320, 10
1330, 10
1340, 10
1350, 10
1360, 10
1370, 10
1380, 10
1390, 10
1400, 10
1410, 10
1420, 10
1430, 10
1440, 10
1450, 10
1460, 10
1470, 10
1480, 10
1490, 10
1500, 10
1510, 10
1520, 10
1530, 10
1540, 10
1550, 10
1560, 10
1570, 10
1580, 10
1590, 10
1600, 10
1610, 10
1620, 10
1630, 10
1640, 10
1650, 10
1660, 10
1670, 10
1680, 10
1690, 10
1700, 10
1710, 10
1720, 10
1730, 10
1740, 10
1750, 10
1760, 10
1770, 10
1780, 10
1790, 10
1800, 10
1810, 10
1820, 10
1830, 10
1840, 10
1850, 10
1860, 10
1870, 10
1880, 10
1890, 10
1900, 10
1910, 10
1920, 10
1930, 10
1940, 10
1950, 10
1960, 10
1970, 10
1980, 10
1990, 10
2000, 10
2010, 10
2020, 10
2030, 10
2040, 10
2050, 11
2060, 11
2070, 11
2080, 11
2090, 11
2100, 11
2110, 11
2120, 11
2130, 11
2140, 11
2150, 11
2160, 11
2170, 11
2180, 11
2190, 11
2200, 11
2210, 11
2220, 11
2230, 11
2240, 11
2250, 11
2260, 11
2270, 11
2280, 11
2290, 11
2300, 11
2310, 11
2320, 11
2330, 11
2340, 11
2350, 11
2360, 11
2370, 11
2380, 11
2390, 11
2400, 11
2410, 11
2420, 11
2430, 11
2440, 11
2450, 11
2460, 11
2470, 11
2480, 11
2490, 11
2500, 11
2510, 11
2520, 11
2530, 11
2540, 11
2550, 11
2560, 11
2570, 11
2580, 11
2590, 11
2600, 11
2610, 11
2620, 11
2630, 11
2640, 11
2650, 11
2660, 11
2670, 11
2680, 11
2690, 11
2700, 11
2710, 11
2720, 11
2730, 11
2740, 11
2750, 11
2760, 11
2770, 11
2780, 11
2790, 11
2800, 11
2810, 11
2820, 11
2830, 11
2840, 11
2850, 11
2860, 11
2870, 11
2880, 11
2890, 11
2900, 11
2910, 11
2920, 11
2930, 11
2940, 11
2950, 11
2960, 11
2970, 11
2980, 11
2990, 11
3000, 11
3010, 11
3020, 11
3030, 11
3040, 11
3050, 11
3060, 11
3070, 11
3080, 11
3090, 11
3100, 11
3110, 11
3120, 11
3130, 11
3140, 11
3150, 11
3160, 11
3170, 11
3180, 11
3190, 11
3200, 11
3210, 11
3220, 11
3230, 11
3240, 11
3250, 11
3260, 11
3270, 11
3280, 11
3290, 11
3300, 11
3310, 11
3320, 11
3330, 11
3340, 11
3350, 11
3360, 11
3370, 11
3380, 11
3390, 11
3400, 11
3410, 11
3420, 11
3430, 11
3440, 11
3450, 11
3460, 11
3470, 11
3480, 11
3490, 11
3500, 11
3510, 11
3520, 11
3530, 11
3540, 11
3550, 11
3560, 11
3570, 11
3580, 11
3590, 11
3600, 11
3610, 11
3620, 11
3630, 11
3640, 11
3650, 11
3660, 11
3670, 11
3680, 11
3690, 11
3700, 11
3710, 11
3720, 11
3730, 11
3740, 11
3750, 11
3760, 11
3770, 11
3780, 11
3790, 11
3800, 11
3810, 11
3820, 11
3830, 11
