Initial hash size, Avg write time (a=5.7 b=2.3), Avg read time (a=5.7 b=2.3), Avg write time (a=17.19 b=-2.3), Avg read time (a=17.19 b=-2.3), Avg write time (a=29.31 b=11.13), Avg read time (a=29.31 b=11.13), Avg write time (a=59.79 b=-11.13), Avg read time (a=59.79 b=-11.13), Avg write time (a=89.97 b=19.23), Avg read time (a=89.97 b=19.23), Avg write time (a=-5.7 b=-19.23), Avg read time (a=-5.7 b=-19.23), Avg write time (a=-17.19 b=43.47), Avg read time (a=-17.19 b=43.47), Avg write time (a=-29.31 b=-43.47), Avg read time (a=-29.31 b=-43.47), Avg write time (a=-59.79 b=79.83), Avg read time (a=-59.79 b=79.83), Avg write time (a=-89.97 b=-79.83), Avg read time (a=-89.97 b=-79.83)
512, 0.00840551, 0.0025152399999999998, 0.009957255000000002, 0.0029308999999999993, 0.008764645, 0.0025494750000000003, 0.00866791, 0.00257805, 0.008152635000000002, 0.00265419, 0.008252119999999998, 0.0024950399999999996, 0.00817712, 0.002559235, 0.009198894999999999, 0.0026374449999999995, 0.00804569, 0.00259516, 0.007919699999999998, 0.0025728199999999995
1024, 0.01011041, 0.0025439449999999997, 0.01006087, 0.0025568749999999993, 0.00898213, 0.0025057300000000003, 0.009293454999999999, 0.00255897, 0.009103585, 0.0025176900000000004, 0.008955540000000001, 0.00250496, 0.00906343, 0.0025262, 0.008670549999999999, 0.0025400399999999995, 0.009110420000000001, 0.0025211599999999997, 0.009069145, 0.0024995449999999997
2048, 0.00984949, 0.00259133, 0.00997709, 0.0026217899999999997, 0.009065725, 0.0025695250000000005, 0.009132120000000002, 0.0025633250000000004, 0.00904021, 0.0026643950000000004, 0.008745335000000002, 0.002569345, 0.00901734, 0.00252299, 0.00913506, 0.00262893, 0.009145994999999999, 0.0025309249999999994, 0.008600815, 0.00256376
4096, 0.009932864999999999, 0.0027631150000000004, 0.00996225, 0.002667145, 0.00933709, 0.00261495, 0.009057384999999998, 0.0025515299999999998, 0.009295740000000002, 0.002633795, 0.00923655, 0.0026759550000000003, 0.009084279999999997, 0.002581025, 0.00868902, 0.002522645, 0.008929484999999997, 0.002569475, 0.00920231, 0.00260476
8192, 0.009835884999999999, 0.0026428450000000004, 0.01011134, 0.002696655, 0.009068255, 0.0026055799999999997, 0.009189425000000001, 0.00258188, 0.00887362, 0.0026648749999999997, 0.008996500000000001, 0.00254928, 0.00903996, 0.0026489049999999996, 0.008874085, 0.002651695, 0.009147975, 0.00255219, 0.008706795, 0.0025732150000000002
16384, 0.009560484999999999, 0.0025712150000000004, 0.00963048, 0.002620865, 0.009091345, 0.0025296700000000004, 0.008931415000000002, 0.00254932, 0.008826230000000001, 0.00256068, 0.008800474999999999, 0.002507755, 0.008937810000000001, 0.00252485, 0.00871668, 0.0025104550000000004, 0.0087337, 0.002547655, 0.00879796, 0.0025877399999999994
32768, 0.00959751, 0.002554605, 0.0093256, 0.0026054550000000004, 0.008827100000000001, 0.00253023, 0.009081204999999998, 0.0025461349999999997, 0.008783490000000001, 0.00253206, 0.008722035, 0.002512635, 0.008552645, 0.00252098, 0.00879476, 0.0025341450000000002, 0.00854529, 0.002559545, 0.008427855000000001, 0.00255242
65536, 0.00907457, 0.00260048, 0.009151554999999999, 0.00260623, 0.008347289999999999, 0.002540655, 0.008567275, 0.0025608149999999997, 0.008268580000000001, 0.0025258550000000005, 0.008135375, 0.0025054649999999997, 0.0081905, 0.0025428449999999997, 0.008078135, 0.002494815, 0.00811143, 0.00252916, 0.008028815, 0.0025424149999999997
131072, 0.00707077, 0.002682215, 0.006927285000000001, 0.00267593, 0.006593535, 0.0025955999999999996, 0.006771630000000001, 0.0026191450000000002, 0.006636945, 0.00259408, 0.006589850000000001, 0.0025672250000000002, 0.006602345000000001, 0.002551015, 0.006513965000000001, 0.00257605, 0.006441860000000001, 0.0025728599999999997, 0.0064883549999999995, 0.002617105
262144, 0.0028488050000000003, 0.0026718049999999998, 0.00285605, 0.002707925, 0.0028419649999999997, 0.0025671150000000005, 0.002805085, 0.002632385, 0.00282126, 0.0026232950000000003, 0.00284049, 0.0025392699999999997, 0.0027649299999999996, 0.002556715, 0.0028516149999999996, 0.00256302, 0.0028040899999999995, 0.0025318999999999997, 0.0027992299999999993, 0.00258696
